gene,pan1wt,pan2wt,pan3ko,pan4ko,pan5ko,pan6ko,pan7wt,pan8wt
1110059G10Rik,139.121,126.087,127.308,120.917,125.353,113.102,134.745,97.224
1110060G06Rik,0,0,0,0,0,0,0,0
1110065P20Rik,11.474,10.293,6.928,12.255,9.643,9.425,6.056,18.697
1190002N15Rik,140.556,132.091,96.997,110.296,176.78,156.603,154.427,162.039
1190005I06Rik,0,0,0,0,0,0,0,0
1190007I07Rik,2.868,3.431,2.598,1.634,3.214,3.625,2.271,6.856
1190028D05Rik,0,0,0,0,0,0,0,0
1200007C13Rik,1.434,5.146,4.33,3.268,9.643,2.175,7.57,1.87
1300002E11Rik,34.422,25.732,29.445,26.144,35.356,26.825,24.981,39.887
1300017J02Rik,0,0,0.866,0,0,0.725,0,1.246
1500002C15Rik,5.737,4.289,4.33,2.451,3.214,2.175,0.757,4.986
1500002F19Rik,1.434,0,0,0,0,0,0,0.623
1500004A13Rik,2.868,3.431,2.598,3.268,6.428,4.35,3.028,4.363
1500005C15Rik,17.211,14.581,11.259,6.536,19.285,18.125,12.869,3.739
1500009C09Rik,0,0,5.196,0,0,0.725,0,0
1500009L16Rik,0,0,0,0.817,0,0,1.514,0.623
1500011B03Rik,31.553,60.041,23.383,35.948,16.071,15.225,18.168,34.278
1500011K16Rik,14.342,3.431,10.393,4.902,22.499,10.875,6.813,13.711
1500012K07Rik,0,0,0,0,0,0,0,0
1500015A07Rik,7.171,12.008,13.857,25.327,12.857,16.675,9.841,8.102
1500015L24Rik,0,0,0,0,0,0,0,0
1500015O10Rik,0,0.858,0,0,0,0,0,4.363
1500026H17Rik,0,0,0,0,0,0.725,0,1.246
1500035N22Rik,0,0,0,0,0,0,0,0
1520401A03Rik,0,0.858,0,0,0,0,0,0
1600002D24Rik,0,2.573,0,0,0,1.45,1.514,0
1600002H07Rik,17.211,19.728,14.723,14.706,35.356,18.125,20.439,23.683
1600002K03Rik,17.211,4.289,13.857,10.621,3.214,13.775,15.897,12.465
1600010M07Rik,45.896,70.334,84.006,91.505,38.57,46.401,46.177,27.422
1600012H06Rik,189.32,196.421,251.153,193.631,199.28,145.728,189.249,215.014
1600012P17Rik,0,0,0,0,0,0,0,0
1600014C10Rik,664.054,791.689,1200.337,1324.373,1404.6,1771.208,987.88,392.634
1600014C23Rik,2.868,0.858,0,0,0,0,0.757,0
1600015I10Rik,0,0,0,0,0,0,0,0
1600017P15Rik,0,0,0,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0,0,0
1600020E01Rik,76.015,136.38,71.882,77.616,67.498,47.126,61.317,38.64
1600023N17Rik,0,0,0,0,0,0,0,0.623
1600025M17Rik,0,0,0,0,0,0,0,0
1600027J07Rik,0,0,0,0,0,0,0,0
1600029O15Rik,0,0,0,0,0,0,0,0
1700001C02Rik,0,0,0,0,0,0,0,0
1700001C19Rik,0,0,0,0,0,0.725,0,1.246
1700001D01Rik,0,0,0,0,0,0,0,0
1700001F09Rik,0,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0,0,0
1700001G11Rik,0,0,0,0,3.214,1.45,0,0.623
1700001G17Rik,0,0,0,0,0,0,0,0
1700001J03Rik,1.434,0,2.598,1.634,0,1.45,1.514,1.246
1700001J04Rik,0,0,0,0,0,0,0,0
1700001J11Rik,0,0,0,0,0,0,0,0
1700001K19Rik,0,0,0,0,0,1.45,0.757,0
1700001L05Rik,5.737,2.573,6.062,4.902,0,8.7,14.383,8.725
1700001L19Rik,0,0,0,0,0,0,0,0
1700001N15Rik,0,0,0,0,0,0,0,0
1700001O22Rik,0,0,0,0,0,0,0,0
1700001P01Rik,0,1.715,0,1.634,0,2.175,0.757,0
1700003C15Rik,0,0,0,0,0,0,0,0
1700003D09Rik,0,0,0,0,0,0,0,0
1700003E16Rik,0,0,0,0,0,0,0,0
1700003E24Rik,0,0,0,0,0,0,0,0
1700003F12Rik,0,0,0,0,0,0,0,0
1700003G13Rik,0,0,0,0,0,0,0,0
1700003G18Rik,0,0,0,0,0,0.725,0,0.623
1700003H04Rik,0,0,0,0,0,0,0,0
1700003I16Rik,0,0.858,0,0,0,0,1.514,0
1700003I22Rik,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0
1700003M07Rik,0,0.858,0,0,0,0,0,0
1700003N22Rik,0,0,0,0,0,0.725,0,0
1700003P14Rik,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0
1700006E09Rik,0,0.858,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0,0,0
1700006J14Rik,2.868,4.289,2.598,0,0,0.725,2.271,1.87
1700006P03Rik,0,0,0,0,0,0,0,0
1700007E05Rik,0,0,0,0,0,0,0,0
1700007F19Rik,0,0,0,0,0,0,0,0
1700007G11Rik,0,0,0,0,0,0,0,0
1700007J10Rik,0,0,0,0,0,0,0,0
1700007K09Rik,1.434,0,0.866,0,0,0,0.757,0.623
1700007K13Rik,0,0,0,0,0,0,0,0
1700007L15Rik,7.171,5.146,1.732,1.634,9.643,2.175,2.271,3.116
1700007M16Rik,0,0,0,0,0,0,0,0
1700007P06Rik,0,0,0,0,0,0,0,0
1700008A23Rik,0,0,0,0,0,0,0,0
1700008B11Rik,0,0,0,0.817,0,0,0,0
1700008H02Rik,0,0,0,0,0,0,0,0
1700008J07Rik,4.303,4.289,0,4.085,6.428,3.625,1.514,7.479
1700008K24Rik,0,0,0,0,0,0,0,0
1700008N11Rik,0,0,0,0,0,0,0,0
1700008O03Rik,0,0,0,0,0,0,0.757,0.623
1700008P02Rik,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0
1700009N14Rik,0,0,0,0,0,0,0,0
1700010B08Rik,0,0,0,0,0,0,0,0
1700010B13Rik,0,0,0,0,0,0,0,0
1700010D01Rik,0,0,0,0,0,0,0,0
1700010H22Rik,0,0,0,0,0,0,0,0
1700010I02Rik,0,0,0,0,0,0,0,0
1700010I14Rik,4.303,4.289,2.598,6.536,3.214,4.35,6.056,3.739
1700010J16Rik,0,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0,0
1700010K24Rik,0,0,0,0,0,0,0,0
1700010L04Rik,0,0,0,0,0,0,0,0
1700010N08Rik,0,0,0,0,0,0,0,0
1700011B04Rik,2.868,0.858,10.393,4.085,0,0.725,0.757,0
1700011C11Rik,0,0,0,0,0,0,0,0
1700011D18Rik,0,0,0,0,0,0,0,0
1700011H14Rik,0,0,0,0,0,0,0,0
1700011I03Rik,0,0,0,0.817,0,0,0,0
1700011L03Rik,0,0,0,0,0,0,0,0
1700011L22Rik,0,0,0,0,0,0,0.757,0
1700011M02Rik,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,0,0
1700012B09Rik,1.434,11.151,11.259,5.719,3.214,1.45,0.757,2.493
1700012C08Rik,0,0,0,0,0,0,0,0
1700012C14Rik,0,0,0,0,0,0,0,0
1700012D14Rik,2.868,5.146,1.732,0,0,5.075,2.271,3.739
1700012D16Rik,0,0,0,0,0,0,0,0
1700012E03Rik,0,0,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0,0,0
1700012J15Rik,0,0,0,0,0,0,0,0
1700012J22Rik,0,0,0,0,0,0,0,0
1700012P22Rik,0,0,0,0,0,0,0,0
1700013A02Rik,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0
1700013F07Rik,0,0,0,0,0,0,0,0
1700013G24Rik,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0
1700013M08Rik,0,0,0,0,0,0,0,0
1700013N06Rik,0,0,0,0,0,0,0,0
1700014D04Rik,2.868,0.858,3.464,1.634,0,2.9,0,0.623
1700014F14Rik,0,0,0,0,0,0,0,0
1700014L14Rik,0,0,0,0,0,0,0,0
1700015C17Rik,0,0,0,0,0,0,0,0
1700015F17Rik,0,0,0,0,0,0,0,0
1700015G11Rik,0,0,0,0,0,0,0,0
1700015I17Rik,0,0,0,0,0,0,0,0
1700015O11Rik,0,0,0,0,0,0,0,0
1700016A09Rik,0,0,0,0,0,0,0.757,0
1700016B01Rik,0,0,0,0,0,0,0,0
1700016B15Rik,0,0,0,0,0,0,0,0
1700016C15Rik,0,0,0,0,0,0,0,0
1700016D06Rik,0,0,0,0,0,0,0,0
1700016D08Rik,0,0,0,0,0,0,0,0
1700016F12Rik,0,0,0,0,0,0,0.757,0.623
1700016G14Rik,0,0,0,0,0,0,0,0
1700016G22Rik,1.434,4.289,0.866,3.268,0,0.725,0,0
1700016H13Rik,0,0,0,0,0,0,0,0.623
1700016K19Rik,0,0,0,0,0,0,0,0
1700016L21Rik,0,0,0,0,0,0,0,0
1700016P03Rik,93.226,91.778,126.442,120.1,125.353,133.402,109.007,30.538
1700016P04Rik,0,0,0,0,0,0,0,0
1700017B05Rik,329.876,249.601,282.33,297.392,147.853,243.605,316.424,305.382
1700017D01Rik,1.434,0.858,0.866,0.817,0,0,1.514,0
1700017G19Rik,0,0,0.866,0.817,0,0,0,0
1700017I07Rik,0,0,0,0,0,0,0,0
1700017J07Rik,0,0,0,0,0,0,0,0
1700017L05Rik,0,0,0,0,0,0,0,0
1700017M07Rik,0,0,0,0,0,0,0,0
1700017N19Rik,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0,0,0
1700018A14Rik,0,0,0,0,0,0,0,0
1700018A23Rik,0,0,0,0,0,0,0,0
1700018B08Rik,0,0,0,0,0,0,0,0
1700018B24Rik,0,0,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,0,0,0,0
1700018L02Rik,1.434,5.146,0,0,0,0.725,0.757,2.493
1700018M17Rik,0,0,0,0,0,0,0,0
1700018P08Rik,0,0,0,0,0,0,0,0
1700019A02Rik,0,0,0.866,0,0,0.725,0,0
1700019A23Rik,0,0,0,0,0,0,0,0
1700019B21Rik,0,0,0,0,0,0,0,0
1700019D03Rik,0,0.858,0,0,0,0,0,0.623
1700019E08Rik,0,0,0,0,0,0.725,0,0
1700019F05Rik,0,0,0,0,0,0,0,0
1700019G24Rik,0,0,0,0,0,0,0,0
1700019M22Rik,0,0,0,0,0,0,0,0
1700019N19Rik,0,0,0,0,0,0,0,0
1700019P21Rik,0,0,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0,0,0
1700020D05Rik,2.868,2.573,0.866,2.451,0,4.35,0,1.246
1700020G03Rik,0,0,0,0,0,0,0,0
1700020G17Rik,0,0,0,0,0,0,0,0
1700020I14Rik,530.67,491.482,389.72,366.02,552.84,508.234,498.86,868.781
1700020L24Rik,0,0.858,0,0,3.214,0,0,0.623
1700020M21Rik,0,0,0,0,0,0,0,0
1700020N01Rik,1.434,3.431,3.464,2.451,0,1.45,2.271,2.493
1700020N15Rik,0,0,0,0,0,0,0,0
1700020N18Rik,0,0,0,0,0,0.725,0,0
1700021A07Rik,0,0.858,0,0,3.214,0,0,0
1700021F02Rik,0,0,0,0,0,0,0,0
1700021F05Rik,28.685,40.314,35.508,29.412,44.999,34.801,40.121,41.756
1700021F07Rik,0,0,0,0,0,0,0,0
1700021F13Rik,0,0,0,0,0,0,0,0
1700021J08Rik,0,0,0,0,0,0,0,0
1700021L23Rik,0,0,0,0,0,0,0,0
1700021N21Rik,0,0.858,0,0,0,0,0,0
1700021P04Rik,0,0,0,0,0,0,0,0
1700022A21Rik,0,0,0,0,0,0,0,0
1700022A22Rik,0,0,0,0,0,0,0,0
1700022E09Rik,0,0.858,0.866,0,0,0,0,0
1700022H16Rik,0,0,0,0,0,0,0,0
1700022I11Rik,1.434,1.715,1.732,1.634,0,0.725,0,0
1700022N22Rik,4.303,3.431,0,4.085,3.214,0.725,3.028,0.623
1700023C21Rik,0,0,0,0,0,0,0,0
1700023F02Rik,0,0,0,0,0,0,0,0
1700023F06Rik,0,0,0,0,0,0,0,0
1700023G09Rik,0,0,0,0,0,0,0,0
1700023H06Rik,1.434,1.715,0,0,6.428,0.725,0,0
1700024B05Rik,0,0,0,0,0,0,0,0
1700024B18Rik,0,0,0,0,0,0,0,0
1700024G13Rik,0,0,0,0,0,0,0,0
1700024J04Rik,0,0,0,0,0,0,0,0
1700024P04Rik,0,0,0,0,0,0,0,0
1700025A08Rik,0,0,0,0,0,0,0,0
1700025B11Rik,0,0,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0,0,0
1700025D23Rik,0,0,0,0,0,0,0,0
1700025F22Rik,0,0.858,0,1.634,0,0,0.757,0
1700025F24Rik,0,0,0,0,0,0,0,0
1700025G04Rik,65.975,42.029,40.704,31.046,93.211,86.277,56.018,69.802
1700025H01Rik,0,0,0,0,0,0,0,0.623
1700025J12Rik,0,0,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,0,0,0
1700025L06Rik,0,0,0,0,0,0,0,0
1700025M24Rik,0,0,0,0,0,0,0,0
1700025N21Rik,0,0,0,0,0,0,0,0.623
1700025N23Rik,1.434,2.573,4.33,1.634,3.214,2.175,2.271,0
1700025O08Rik,0,0,0,0,0,0,0,0
1700026D11Rik,0,0,0,0,0,0,0,0
1700026F02Rik,0,0,0,0,0,0,0,0
1700026J12Rik,0,0,0,0,0,0,0,0
1700026J14Rik,0,0,0,0,0,0,0,0
1700027A07Rik,0,0,0.866,0,0,0,0,0
1700027A15Rik,0,0,0,0,0,0,0,0
1700027F06Rik,0,0,0,0,0,0,0,0
1700027F09Rik,0,0,0,0,0,0,0,0
1700027H10Rik,0,0,0,0,0,0,0,0
1700027I24Rik,0,0,0,0,0,0,0,0
1700028B04Rik,0,0,0,0,0,0,0,0
1700028D13Rik,0,0,0,0,0,0,0,0
1700028E10Rik,11.474,8.577,2.598,0.817,3.214,2.175,10.598,4.986
1700028I16Rik,0,0,0,0,0,0,0,0
1700028J19Rik,0,1.715,0.866,0.817,0,2.9,1.514,0.623
1700028K03Rik,0,0.858,0,0,0,0.725,0,0
1700028M03Rik,0,0,0,0,0,0,0,0
1700028N14Rik,4.303,0,8.66,2.451,3.214,2.175,2.271,1.87
1700028P14Rik,0,0,0,0,0,0,0,0
1700028P15Rik,0,0,0,0,0,0,0,0
1700029B22Rik,0,0,0,0,0,0,0,0
1700029B24Rik,0,0,0,0,0,0,0,0
1700029E06Rik,0,0,0,0,0,0,0,0
1700029F12Rik,0,0,0,0,0,0,0,0
1700029H14Rik,2.868,3.431,0.866,0,0,0,1.514,1.87
1700029I15Rik,1.434,3.431,5.196,2.451,0,0.725,3.785,1.87
1700029J03Rik,0,0,0,0,0,0,0,0
1700029J07Rik,4.303,2.573,0.866,2.451,6.428,5.075,5.299,7.479
1700029M03Rik,0,0,0,0,0,0,0,0
1700029M20Rik,0,0,0,0,0,0,0,0
1700029N11Rik,0,0,0,0,0,0,0.757,0
1700029P11Rik,0,0,0,0,0,0,0,0
1700030A11Rik,0,0,0,0,0,0,0,0
1700030C10Rik,0,0.858,0.866,0,0,0,0.757,3.116
1700030C12Rik,0,0,0.866,0,0,1.45,0,0
1700030C14Rik,0,0,0,0,0,0,0,0
1700030F04Rik,0,0,0,0,0,0,0,0
1700030I03Rik,0,0,0,0,0,0,0,0
1700030J22Rik,10.04,18.012,12.991,12.255,16.071,7.975,11.355,3.739
1700030K09Rik,20.079,6.004,13.857,6.536,25.714,20.3,11.355,26.799
1700030L20Rik,0,0,0,0,0,0,0,0
1700030M09Rik,0,0,0,0,0,0,0,0
1700030N03Rik,0,0,0,0,0,0,0,0
1700030N18Rik,0,0,0,0,0,0,0,0
1700030O20Rik,0,0,0,0,0,0,0,0
1700031A10Rik,0,0,0,0,0,0,0,0
1700031F05Rik,0,0,0,0,0,0,0,0
1700031F10Rik,0,0,0,0,0,0,0,0
1700031L13Rik,0,0,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0,0,0
1700031P21Rik,0,0,0,0,0,0,0,0
1700034B16Rik,0,0,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0,0,0
1700034G24Rik,0,0,0,0,0,0,0,0
1700034H15Rik,4.303,3.431,9.526,7.353,0,4.35,6.056,3.739
1700034I23Rik,0,0,0,0,0,0,0,0
1700034J04Rik,0,0,0,0,0,0,0,0
1700034J05Rik,0,0,0,0,0,0,0,0
1700034K08Rik,0,0,0,0,0,0,0,0
1700034O15Rik,0,0,0,0,0,0,0,0
1700034P13Rik,0,0.858,0,0.817,0,2.175,0.757,1.246
1700036A12Rik,0,0,0,0,0,0,0,0
1700036G14Rik,0,0,0,0,0,0,0,0
1700036O09Rik,0,0,0,0,0,0,0,0
1700037C06Rik,0,0,0,0,0,0,0,0
1700037C18Rik,11.474,6.862,11.259,8.987,3.214,4.35,9.841,6.232
1700037F24Rik,0,0,0,0,0,0,0,0
1700037H04Rik,25.816,14.581,19.053,22.059,12.857,26.1,22.71,36.147
1700039E22Rik,0,0,0,0,0,0,0,0
1700039I01Rik,0,0,0,0,0,0,0,0
1700039M10Rik,0,0,0,0,0,0,0,0
1700039M15Rik,0,0,0,0,0,0,0,0
1700040D17Rik,0,0,0,0.817,0,0,0,0
1700040F15Rik,0,0,0,0,0,0,0,0
1700040F17Rik,0,0,0,0,0,0,0,0
1700040K01Rik,0,0,0,0,0,0,0,0
1700040L02Rik,0,0,0,0,0,0,0.757,0
1700040L08Rik,2.868,1.715,0.866,3.268,0,0.725,0,0
1700041C23Rik,0,0,0,0,0,0,0,0
1700041G16Rik,0,0,0,0.817,0,0,0,0
1700041I07Rik,0,0.858,0,0,0,0,0,0
1700041M05Rik,0,0,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0,0,0
1700042D02Rik,0,0,0,0,0,0,0,0
1700042G07Rik,0,0,0,0,0,0,0,0
1700042G15Rik,0,0,0,0,0,0,0,0
1700042O10Rik,0,0,0,0,0,0,0,0
1700044C05Rik,0,0,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0,0,0
1700045H11Rik,0,0,0,0,0,0,0,0
1700045I11Rik,0,0,0,0,0,0,0,0
1700046C09Rik,0,0,0,0,0,0,0,0
1700047A11Rik,0,0,0,0,0,0,0.757,0
1700047F07Rik,0,0,0,0,0,0,0,0
1700047G03Rik,0,0,0,0,0,0,0,0
1700047G07Rik,0,0,0,0,0,0,0,0
1700047I17Rik2,0,0,0,0,0,0,0,0
1700047K16Rik,1.434,0,0,0.817,0,0.725,0,0.623
1700047L14Rik,0,0,0,0,0,0,0,0
1700047M11Rik,5.737,49.749,12.125,9.804,3.214,3.625,5.299,0.623
1700047N06Rik,0,0,0,0,0,0,0,0
1700047O18Rik,0,0,0,0,0,0,0,0
1700048F04Rik,0,0,0,0,0,0.725,0,0
1700048M11Rik,0,0,0,0,0,0,0,0
1700048O20Rik,0,0,0.866,0,6.428,0,0.757,0
1700049E15Rik,0,0,0,0,0,0,0,0
1700049E17Rik1,0,0,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0,0,0
1700049J03Rik,0,0,0,0,0,0,0,0
1700049L16Rik,0,0,0,0,0,0,0,0
1700051A21Rik,0,0,0,0,0,0,0,0
1700051K13Rik,0,0,0,0,0,0,0,0
1700051O22Rik,0,0,0,0,0,0,0,0
1700052H01Rik,0,0,0.866,0,0,0,0,0
1700052I22Rik,0,0,0,0,0,0,0,0
1700052K11Rik,17.211,10.293,8.66,9.804,3.214,9.425,8.327,8.102
1700054A03Rik,0,0,0,0,0,0,0,0
1700054K02Rik,0,0,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0,0,0
1700054M17Rik,0,0,0,0,0,0,0,0
1700054O19Rik,1.434,0,0,0,0,0.725,0,0.623
1700055C04Rik,0,0,0,0,0,0,0,0
1700055D18Rik,0,4.289,3.464,3.268,0,0.725,3.028,0
1700056E22Rik,2.868,1.715,0.866,0.817,3.214,1.45,0,0
1700056N10Rik,8.605,12.866,6.062,8.17,16.071,11.6,8.327,6.232
1700057G04Rik,0,0,0,0,0,0,0,0
1700057H15Rik,0,0,0,0,0,0,0,0
1700057H21Rik,0,0,0,0,0,0,0,0
1700058P15Rik,0,0,0,0,0,0,0,0
1700060C16Rik,0,0,0,0,0,0,0,0
1700060C20Rik,0,0,0,0,0,0,0,0
1700060J05Rik,0,0,0,0,0,0,0,0
1700060O08Rik,0,0,0,0,0,0,0,0
1700061E17Rik,0,0,0,0,0,0,0,0
1700061E18Rik,0,0,0,0,0,0,0,0
1700061F12Rik,0,0,0,0,0,0,0,0
1700061G19Rik,0,1.715,0,0,0,0,0,0
1700061H18Rik,0,0,0,0,0,0,0,0
1700061I17Rik,0,0,0,0,0,0,0,0
1700061J23Rik,0,0,0,0,0,0,0,0
1700061N14Rik,0,0,0,0,0,0,0,0.623
1700063A18Rik,0,0,0,0,0,0,0,0
1700063D05Rik,0,0,0,0,0,0,0,0
1700063H04Rik,0,0,0,0,0,0,0,0
1700063H06Rik,0,0,0,0,0,0,0,0
1700063I16Rik,0,0,0,0,0,0,0,0
1700063K16Rik,0,0,0,0,0,0,0,0
1700063O14Rik,0,0,0,0,0,0,0,0
1700064H15Rik,2.868,0,0.866,0,0,0,0.757,0
1700064J06Rik,0,0,0,0,0,0,0,0
1700064M15Rik,0,0,0.866,0,0,0,0,0
1700065D16Rik,0,0,0,1.634,0,0.725,0,0
1700065I16Rik,0,0,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,0,0,0,0
1700065J18Rik,0,0,0,0,0,0,0,0
1700065L07Rik,0,0,0,0,0,0,0,0
1700065O20Rik,0,0,0,0,0,0,0,0
1700066B17Rik,0,5.146,0.866,1.634,0,1.45,0,0
1700066B19Rik,1.434,0,0,0,0,0.725,0,0
1700066C05Rik,0,0,0,0,0,0,0,0
1700066J03Rik,0,0,0,0,0,0,0,0
1700066M21Rik,48.764,42.887,45.9,31.863,61.07,48.576,37.85,55.467
1700066N21Rik,0,0,0,0,0,0,0,0
1700066O22Rik,0,0,0,0,0,0,0,0
1700067G17Rik,0,0,0,0,0,0,0,0
1700067K01Rik,0,0,0.866,0.817,0,0.725,1.514,0.623
1700067P10Rik,0,0,0,0,0,0,0,0
1700069B07Rik,0,0,0,0,0,0,0,0
1700069L16Rik,0,0,0,0,0,0,0,0
1700069P05Rik,0,0,0,0,0,0,0,0
1700071G01Rik,0,0,0,0,0,0,0,0
1700071K01Rik,0,0,0,0,0,0,0,0
1700071M16Rik,0,2.573,1.732,2.451,0,0.725,0.757,1.87
1700072B07Rik,0,0,0,0,0,0,0,0
1700072G22Rik,5.737,6.862,4.33,6.536,6.428,2.175,0.757,0.623
1700072O05Rik,0,0,0.866,0,0,0,0,0
1700073E17Rik,0,0,0,0,0,0,0,0
1700074A21Rik,0,0,0,0,0,0,0,0
1700074H08Rik,0,0,0,0,0,0,0,0
1700074P13Rik,0,0,0,0,0,0,0,0
1700080E11Rik,0,0,0,0,0,0,0,0
1700080G11Rik,0,0,0,0,0,0,0,0
1700080N15Rik,0,0,0,0,0,0,0,0
1700080O16Rik,0,0,0,0,0,0,0,0
1700081B01Rik,0,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0,0
1700082M22Rik,0,0,0,0,0,0,0,0
1700083H02Rik,0,0,0,0,0,0,0,0
1700084C06Rik,0,0,0,0.817,0,0,0,0
1700084E18Rik,0,0,0,0,0,0.725,0,0.623
1700084F23Rik,0,0,0,0,0,0,0,0
1700084J12Rik,0,0,0,0,0,0,0,0
1700084M14Rik,0,0,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,0,0,0,0
1700086D15Rik,0,0,0,0,0,0,0,0.623
1700086L19Rik,0,0,0,0,0,0,0.757,0
1700086O06Rik,5.737,3.431,2.598,0.817,3.214,2.9,2.271,8.725
